NU_SEQUENCIAL;NU_ANO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO
632437;2024;15583058;1500602;Altamira;15;PA;2;1;1;1500602;Altamira;15;PA;1;1;1;1;1422;1384;1396;1410;394.5;417;406.3;463;DECCABABEAECBDCABADCBDABDECBAABDADAABBDCBDECE;ACEBECBCAADDECBCADBABBABCDEACCEAAABECDABEEABB;ECDAECABBDBCDEABAEECABDBCACAEBABCDCACBDEDACDE;DABCEDADBEBADDCBCADEEEAEDECCDEACBAEDC.ADCECAD;0;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;120;120;100;100;120;560
1298417;2024;;;;;;;;;1500602;Altamira;15;PA;1;1;1;1;1422;1384;1396;1410;392.9;447;444.6;401.8;BDCEBEAEEDBEADACCEEAEABCCEDEEABDCADAAACAEBDAD;DABBCCADEDCBCABCBACCDDDABBECDEDCBCDEECDACECCA;EAEBBBDDCDCEDADCDDBCEEAADDBEAEADABCBBDCEABADA;DDCADCDDCCDDDACECECDABCDABEEBDDAEEADEBDBECBBB;0;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;120;120;120;120;100;580
865368;2024;;;;;;;;;1500602;Altamira;15;PA;1;1;1;1;1422;1384;1396;1410;355.6;357.7;369.4;446.8;CDBDACAEBCBEBCEBEADBBCACCBBCABBACAAADCDCDCCCE;CACDDBCBDBDAACBDBBEDDCACCECBCDAAEABBCBBADDBCE;DCCACCBBBDABBCACABBBCCDCCBDBBCBDCCBDBBDECDAAB;CBDDBEBDCADCACCBBCECCACDCEDDCCABADCBCEACADBDC;1;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;120;140;120;100;0;480
4027769;2024;;;;;;;;;1500602;Altamira;15;PA;1;1;1;1;1419;1385;1398;1407;575.6;595.4;605.4;513.9;BCBBCCCEBDACCDEDAABDCABCECEBABCAACEEDEBDDACDB;CABDACDCECECEDACEAEACDCADEEDEBBEAABECBBECBBCD;BDEDCDDCBDEECEECBDEBABDEBCBEAEDEAEBDBCBDDEECB;AECACCDDECBBACDCDEDDCCDEBBADDCBDCBDDBCCAACDBE;1;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1;120;140;100;120;100;580
1365443;2024;;;;;;;;;1500602;Altamira;15;PA;1;1;1;1;1420;1383;1395;1408;402.4;489.4;476.9;501.6;EAADEACEAEBDEBDBDCAEDBCEDBEBACABCBECEBAADACDA;BBCDCECCABBDBACCDCBBAABCDDABBBAACBCDDCCDDABCC;CCACDBCBEDEAAEABDBBCDACADBDBDECBDCADDBABADAEA;DECCDCEDDACCDEACDBDDAEAADCDEBCBBDCCDDABDCCBED;1;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1;120;120;100;100;40;480
767063;2024;;;;;;;;;1500602;Altamira;15;PA;1;1;1;1;1419;1385;1398;1407;468.8;331.6;426.1;379.7;DCEDEACCDBDCDEDCEBDDEBBCADABDAABCDEBECDDBCDDB;ACDBDDCAEBADCEDBAABCADBEBDBEBACDBECAECBBDDCDA;ABBADEABADADCCCABCEEADEDBEBADBEEDDEDBCBCDCDED;BCADEDDECEDDBECCBCABADACECECBDCAEDADEABEACDAD;0;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1;120;160;140;160;120;700
1998346;2024;15105016;1508357;Vitória do Xingu;15;PA;2;1;1;1500602;Altamira;15;PA;0;1;1;0;;1383;1395;;;403.1;518.8;;;AEABBCDCCEACADEAAEEEAAACECDBCBAACDCADEBAACBDE;ECBADECDECBDDACEECDAEABEABCBDEADDEDDADCCADBEA;;1;;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;;4;0;0;0;0;0;0
215195;2024;15169138;1500602;Altamira;15;PA;2;1;1;1500602;Altamira;15;PA;1;1;1;1;1419;1385;1398;1407;394.6;489.4;470.1;379.6;ACAACEADCAAEAEEDEAACBABEACAAAABAACEADACAACCEB;DABADBDBECBCCCABEAEEBDCACCEADCAAACBEACDDBDEAE;AEAEECAAAEEECEABCCAABECBBEEDABABDDEECDDDDBECE;DBCBCBCAAACDADECEEADEDADEDEBEACDECAACBDAADADE;1;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;8;0;0;0;0;0;0
2208273;2024;15104907;1500602;Altamira;15;PA;2;1;1;1500602;Altamira;15;PA;1;1;1;1;1419;1385;1398;1407;444.5;532.6;567.5;549.6;DBBCCCCDDDCBCAAEBBDDACBABDDCCBBBDCEAEDBDCCCDE;CABDBCDBCBDCCDADEBAECEAADEDDEBBBCACABBBAABACD;BAAACCACBCEECBEAEECCADCEBCBEBDBDCDEDADDDDAECB;DCAABCBDEADDDBBDDCCDACBCCBBBECEDDCBDBEDDACECD;0;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1;160;200;160;200;200;920
34367;2024;;;;;;;;;1500602;Altamira;15;PA;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;
